ID,kind,number,harai,ninki
201901010305,ワイド,5 - 14br6 - 14br5 - 6,"4,330br4,380br9,200",40br41br69
201901010305,馬単,14 → 5,26950,72
201901010305,三連複,5 - 6 - 14,65430,157
201901010305,三連単,14 → 5 → 6,334450,775
201901010306,単勝,5,590,3
201901010306,複勝,5br10br1,150br140br120,3br2br1
201901010306,枠連,4 - 7,1180,4
201901010306,馬連,5 - 10,1660,6
201901010306,ワイド,5 - 10br1 - 5br1 - 10,610br230br280,8br2br3
201901010306,馬単,5 → 10,3590,14
201901010306,三連複,1 - 5 - 10,1180,1
201901010306,三連単,5 → 10 → 1,10520,32
201901010307,単勝,4,250,2
201901010307,複勝,4br5br2,160br500br270,2br6br4
201901010307,枠連,3 - 4,2320,8
201901010307,馬連,4 - 5,3590,13
201901010307,ワイド,4 - 5br2 - 4br2 - 5,"1,060br660br2,960",11br5br24
201901010307,馬単,4 → 5,4750,16
201901010307,三連複,2 - 4 - 5,11470,30
201901010307,三連単,4 → 5 → 2,42950,112
201901010308,単勝,8,2860,8
201901010308,複勝,8br4br5,400br170br140,7br3br2
201901010308,枠連,4 - 7,2540,11
201901010308,馬連,4 - 8,6200,22
201901010308,ワイド,4 - 8br5 - 8br4 - 5,"1,180br940br350",16br13br2
201901010308,馬単,8 → 4,16520,50
201901010308,三連複,4 - 5 - 8,3500,12
201901010308,三連単,8 → 4 → 5,45630,158
201901010309,単勝,7,130,1
201901010309,複勝,7br2br1,110br110br190,1br2br5
201901010309,枠連,2 - 7,240,1
201901010309,馬連,2 - 7,250,1
201901010309,ワイド,2 - 7br1 - 7br1 - 2,140br300br580,1br3br10
201901010309,馬単,7 → 2,300,1
201901010309,三連複,1 - 2 - 7,900,3
201901010309,三連単,7 → 2 → 1,1510,2
201901010310,単勝,2,720,3
201901010310,複勝,2br5br4,200br250br120,3br5br1
201901010310,枠連,2 - 5,3490,13
201901010310,馬連,2 - 5,2990,12
201901010310,ワイド,2 - 5br2 - 4br4 - 5,980br350br540,14br2br6
201901010310,馬単,2 → 5,5810,24
201901010310,三連複,2 - 4 - 5,2550,7
201901010310,三連単,2 → 5 → 4,24210,87
201901010311,単勝,7,630,3
201901010311,複勝,7br4br5,220br280br210,5br8br3
201901010311,枠連,4 - 7,3630,17
201901010311,馬連,4 - 7,3320,25
201901010311,ワイド,4 - 7br5 - 7br4 - 5,"1,090br750br1,170",25br11br26
201901010311,馬単,7 → 4,6110,46
201901010311,三連複,4 - 5 - 7,7910,53
201901010311,三連単,7 → 4 → 5,43840,285
201901010312,単勝,10,3050,11
201901010312,複勝,10br15br9,620br190br120,11br2br1
201901010312,枠連,5 - 8,750,2
201901010312,馬連,10 - 15,11460,35
201901010312,ワイド,10 - 15br9 - 10br9 - 15,"3,710br1,550br420",42br15br2
201901010312,馬単,10 → 15,28370,84
201901010312,三連複,9 - 10 - 15,11620,33
201901010312,三連単,10 → 15 → 9,139700,418
201901010401,単勝,10,110,1
201901010401,複勝,10br6br2,100br140br220,1br3br5
201901010401,枠連,5 - 7,330,1
201901010401,馬連,6 - 10,350,1
201901010401,ワイド,6 - 10br2 - 10br2 - 6,170br310br870,1br4br10
201901010401,馬単,10 → 6,390,1
201901010401,三連複,2 - 6 - 10,1230,4
201901010401,三連単,10 → 6 → 2,2160,3
201901010402,単勝,5,200,1
201901010402,複勝,5br11br3,110br570br160,1br10br2
201901010402,枠連,5 - 8,1300,5
201901010402,馬連,5 - 11,3360,12
201901010402,ワイド,5 - 11br3 - 5br3 - 11,"1,190br290br2,850",17br2br35
201901010402,馬単,5 → 11,4830,20
201901010402,三連複,3 - 5 - 11,5690,21
201901010402,三連単,5 → 11 → 3,26440,97
201901010403,単勝,6,1340,6
201901010403,複勝,6br11br14,390br440br170,7br10br1
201901010403,枠連,4 - 7,3960,14
201901010403,馬連,6 - 11,9460,36
201901010403,ワイド,6 - 11br6 - 14br11 - 14,"2,440br840br1,280",36br6br18
201901010403,馬単,6 → 11,18680,70
201901010403,三連複,6 - 11 - 14,10290,42
201901010403,三連単,6 → 11 → 14,80870,329
201901010404,単勝,9,330,1
201901010404,複勝,9br7br11,200br270br360,2br5br8
201901010404,枠連,5 - 6,1620,8
201901010404,馬連,7 - 9,1890,6
201901010404,ワイド,7 - 9br9 - 11br7 - 11,"760br1,110br1,960",8br17br29
201901010404,馬単,9 → 7,3100,10
201901010404,三連複,7 - 9 - 11,7480,33
201901010404,三連単,9 → 7 → 11,29360,124
201901010405,単勝,5,960,3
201901010405,複勝,5br6br1,140br110br110,3br1br2
201901010405,枠連,5 - 6,520,2
201901010405,馬連,5 - 6,580,2
201901010405,ワイド,5 - 6br1 - 5br1 - 6,240br330br140,3br5br1
201901010405,馬単,5 → 6,1850,6
201901010405,三連複,1 - 5 - 6,490,1
201901010405,三連単,5 → 6 → 1,5570,18
201901010406,単勝,5,190,1
201901010406,複勝,5br3br4,110br150br180,1br2br3
201901010406,枠連,3 - 5,530,1
201901010406,馬連,3 - 5,620,1
201901010406,ワイド,3 - 5br4 - 5br3 - 4,240br320br710,1br3br10
201901010406,馬単,5 → 3,840,1
201901010406,三連複,3 - 4 - 5,1220,1
201901010406,三連単,5 → 3 → 4,3360,1
201901010407,単勝,8,210,1
201901010407,複勝,8br6br4,110br190br120,1br5br2
201901010407,枠連,6 - 8,1190,6
201901010407,馬連,6 - 8,1330,6
201901010407,ワイド,6 - 8br4 - 8br4 - 6,430br180br360,7br1br6
201901010407,馬単,8 → 6,1740,6
201901010407,三連複,4 - 6 - 8,1030,3
201901010407,三連単,8 → 6 → 4,4970,14
201901010408,単勝,12,340,2
201901010408,複勝,12br1br7,150br160br150,3br4br2
201901010408,枠連,1 - 8,1030,5
201901010408,馬連,1 - 12,1320,5
201901010408,ワイド,1 - 12br7 - 12br1 - 7,570br400br450,6br4br5
201901010408,馬単,12 → 1,2380,8
201901010408,三連複,1 - 7 - 12,1950,4
201901010408,三連単,12 → 1 → 7,9670,20
201901010409,単勝,1,330,2
201901010409,複勝,1br7br2,170br870br300,2br9br5
201901010409,枠連,1 - 6,1030,5
201901010409,馬連,1 - 7,8120,22
201901010409,ワイド,1 - 7br1 - 2br2 - 7,"2,060br770br4,820",21br9br33
201901010409,馬単,1 → 7,10790,32
201901010409,三連複,1 - 2 - 7,16670,48
201901010409,三連単,1 → 7 → 2,84070,223
201901010410,単勝,10,1750,6
201901010410,複勝,10br2br7,470br200br210,6br3br4
201901010410,枠連,2 - 7,750,4
201901010410,馬連,2 - 10,6180,17
201901010410,ワイド,2 - 10br7 - 10br2 - 7,"1,480br1,520br630",15br16br7
201901010410,馬単,10 → 2,13120,39
201901010410,三連複,2 - 7 - 10,12620,41
201901010410,三連単,10 → 2 → 7,89950,246
201901010411,単勝,11,230,1
201901010411,複勝,11br10br1,130br190br250,1br3br5
201901010411,枠連,5 - 6,690,1
201901010411,馬連,10 - 11,1000,2
201901010411,ワイド,10 - 11br1 - 11br1 - 10,"420br500br1,100",2br3br12
201901010411,馬単,11 → 10,1480,2
